label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location
C,2994,49,44957,3,41,0,1,1,0,1
S,2289,2024,40053,2,3,2,1,0,0,1
S,1355015,563,298794,0,8,5,1,0,1,1
S,2715,887,224075,1,84,0,1,0,0,0
S,8279,154,1181,2,2,0,1,1,0,1
S,1314,12,91725,0,0,0,2,0,0,1
N,2616,310,52557,1,1,0,1,1,0,0
S,8752,2352,164226,1,45,0,1,0,0,1
N,5878,4004,83516,1,17,0,1,0,0,0
S,8069,349,104691,0,27,14,1,1,0,1
S,516406,16,66216,0,3,1,2,0,1,1
S,14504,12433,98099,2,2,1,1,1,0,1
S,1673,134,91457,1,9,0,1,0,0,1
S,18862,531,170173,1,9,0,1,0,0,1
S,3757,189,98516,1,9,0,1,0,0,1
S,6525,89,49723,1,9,0,1,0,1,1
S,10149,247,76633,0,9,1,1,0,0,1
S,13330,67,10754,1,338,0,1,0,0,1
N,1551,1861,9143,0,3,1,1,0,0,1
S,7307,457,85658,1,8,0,1,0,0,0
C,33685,206,38626,0,0,0,3,0,0,1
N,1551,1861,9143,0,2,1,1,0,0,1
N,1551,1861,9143,0,1,2,1,0,0,1
S,59965,119,195209,0,1,0,2,0,1,1
C,10149,247,76633,0,1,0,1,1,0,1
C,22082,98,230515,0,6,3,1,1,0,1
C,1631,294,74332,1,6,0,1,1,0,0
N,2510,589,100611,0,0,0,2,0,0,1
S,2992,1355,78531,1,338,0,1,0,0,1
S,31132,368,20783,0,23,5,1,1,1,1
C,1339062,209,206951,0,2,2,1,1,1,1
C,3539,60,1745,0,0,0,1,1,0,0
S,3716,2531,17790,1,3,0,2,0,0,1
N,1662,1606,4469,0,0,1,2,0,0,1
N,1662,1606,4469,1,1,0,1,0,0,1
N,1295,1771,20850,1,49,0,1,0,0,1
N,2052,198,19284,1,0,1,1,0,0,1
N,92683,738,2285,0,58,25,1,0,1,1
N,5976,4017,84128,1,7,0,1,0,0,0
N,1712,227,13551,0,1,1,1,0,0,1
N,3745,1405,79450,1,89,0,2,0,0,1
N,11500,1269,42933,1,5,27,2,0,0,1
N,11719,56,12131,1,30,0,1,0,0,1
N,28557,17769,24596,0,168,4,1,1,0,1
N,3740,640,52205,0,30,14,1,0,0,1
N,42024,1120,287055,1,22,0,1,0,0,0
N,22063,702,122581,0,1,0,1,1,0,1
N,18986,531,170870,3,73,0,1,0,0,1
N,3215,7,79719,0,2,0,1,1,0,1
N,2876,461,68221,0,6,0,1,0,0,1
N,10178,248,76881,0,9,1,1,0,0,1
N,5079,5011,82911,0,3,0,7,0,0,1
