label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location
S,-0.2954,-0.4367,-0.0388,0,-0.3407,-0.1087,1,0,0,1
S,-0.3071,-0.4927,-1.0369,1,-0.3781,-0.3506,1,0,0,1
S,-0.2755,-0.1282,0.4134,0,-0.3781,-0.3506,1,0,1,1
S,-0.2990,-0.4515,-0.7095,0,-0.3781,-0.3506,1,0,0,1
S,1.9690,-0.4874,0.3072,0,-0.2286,1.3432,1,0,0,1
S,0.0667,-0.5508,-0.0557,0,-0.3220,-0.1087,1,0,0,0
S,-0.3071,-0.4927,-1.0369,0,-0.3781,-0.3506,1,0,0,1
S,-0.2954,-0.4367,-0.0388,1,-0.3781,-0.3506,1,0,0,1
S,-0.3022,0.5179,1.8134,2,0.1265,-0.3506,1,0,0,1
S,-0.2939,2.3076,0.3273,2,0.1265,-0.3506,1,0,0,1
S,-0.3088,-0.5476,-0.7222,1,-0.3220,-0.3506,1,0,0,0
S,-0.2990,-0.4515,-0.7095,0,-0.3594,-0.3506,1,0,0,1
S,-0.2755,-0.1282,0.4134,0,-0.3594,-0.3506,1,0,1,1
S,-0.3096,-0.0891,-0.6969,2,0.1265,-0.3506,1,0,0,0
S,6.3585,-0.3194,1.2854,2,0.1265,-0.3506,1,0,1,1
S,1.9406,-0.2697,3.0049,0,-0.2846,-0.1087,1,0,1,1
S,-0.3094,0.0668,-0.6739,1,-0.2660,-0.3506,1,0,0,1
S,-0.3105,-0.4631,-0.6197,1,-0.2660,-0.3506,1,0,0,0
S,1.9406,-0.2697,3.0049,0,-0.3033,0.3753,1,0,1,1
S,-0.3025,-0.2523,-0.7679,1,-0.3220,0.1333,1,1,0,1
C,-0.3097,0.4804,-0.0660,1,-0.1165,-0.3506,1,1,0,1
C,-0.3036,0.3240,-0.4281,1,-0.1165,-0.3506,1,1,0,1
C,-0.2968,2.1095,0.7394,1,-0.1165,-0.3506,1,1,0,1
C,-0.2930,5.5875,-0.7295,1,-0.1165,-0.3506,1,1,0,1
C,-0.3022,0.5179,1.8134,1,-0.1165,-0.3506,1,1,0,1
S,-0.3098,0.0816,-0.6818,1,-0.3220,-0.3506,2,0,0,0
S,-0.3101,-0.3669,-0.9986,0,-0.3220,-0.3506,2,0,0,1
C,0.7052,-0.5513,0.8290,0,-0.1165,0.8592,1,1,1,0
C,-0.3084,0.5485,-0.4439,0,-0.3594,-0.1087,1,1,0,1
S,-0.3077,-0.4573,-0.9664,0,-0.3594,-0.3506,1,1,0,1
C,-0.3100,0.2601,-0.7375,1,-0.2099,-0.3506,1,1,0,1
C,-0.3097,-0.4668,0.7033,1,-0.2099,-0.3506,1,1,0,1
C,-0.2606,-0.3727,-0.8039,0,-0.2099,0.1333,1,1,1,1
C,-0.3067,-0.2745,-0.2893,1,-0.3033,-0.3506,1,1,0,1
C,-0.2606,-0.3727,-0.8039,0,-0.3033,-0.3506,1,1,1,1
